,id,tweet,sentiment,date
0,1.341603351461585e+18,"Christmas photos at home.... quarantine style! @ Atlanta, Georgia https://t.co/yithJqOkhc",1.0,december23_december24
1,1.341603360932307e+18,Covid friendly holiday fun @lincolnparkzoo #zoologhts #merrychristmas @annettetaus @dna1971 @ Lincoln Park Zoo https://t.co/8zYPRcqeYb,0.4454545454545455,december23_december24
2,1.3416073288571576e+18,"#HotChocolateBombs from my boss @agwheels...thank you Peter!!! #hotcocoa #cookiesandcream #milktea #yummy😋😋 @ Corona, California https://t.co/zQAvUQoQPQ",0.2122159090909091,december23_december24
3,1.3416114474706289e+18,"Money bags under the eyes even during a pandemic 👀💰🔒 

#photography #model #eyes #picoftheday #ootd #yeezy #yeezys #canon #photographer #style #fashion @ Minneapolis, Minnesota https://t.co/lNCwkOm3Ib",0.0,december23_december24
4,1.3416125233474724e+18,"President Trump threatens coronavirus relief deal with $2,000 stimulus check demand @ Chino Hills, California https://t.co/PFfp3cj9O7",0.13636363636363635,december23_december24
5,1.341613197246296e+18,Nutcracker Traditions Covid Style @ Bristol Bar &amp; Grille https://t.co/6t6H8A59Tm,0.3180555555555556,december23_december24
6,1.3416192189959619e+18,"@RonaldSDean I imagine. Hopefully you’re up for a vaccine sooner than most, I’d imagine? But yeah, be careful out there man. We all have to be.",0.0972222222222222,december23_december24
7,1.341620084758995e+18,"Be fruitful. #holidays #merrychristmas #covid_19 #pomegranate #handpicked @ Los Angeles, California https://t.co/1CFpbW481A",-0.008333333333333331,december23_december24
8,1.3416255422028104e+18,"France is fast-tracking citizenship for health care workers, garbage collectors, housekeepers, cashiers, others on the pandemic frontlines. 

Last week, Canada gave permanent residence to “essential” asylum seekers.

It’s both right and smart.

Who’s next?
https://t.co/JRTL3bFTjv",0.0,december23_december24
9,1.3416259890933555e+18,"Last chance to sing before Christmas!! #drinks🍹 New Hours 730-10pm Last call at 845! #parkwaytavern 
#karaoke #socialdistancing #bringyourmask😷 @ The Parkway Tavern https://t.co/CycDFlBEn0",0.0,december23_december24
10,1.341626248817197e+18,"#OKCThunder sent as a (13th year) season ticket member this gift box of masks, hand sanitizer, wet wipes, bag, beanie,etc. to help us #ThunderUp safely! @ Chesapeake Energy Arena https://t.co/JK2V7oiDoh",0.0,december23_december24
11,1.3416318956546499e+18,"@Unclekage @DustinDaHusky Or, in my care, have the appointment canceled because the hygienist is out with Covid.",-0.0625,december23_december24
12,1.3416369379590062e+18,"In case anyone is curious, my symptoms currently are general body soreness, slight intermittent cough, and a slight headache. https://t.co/jAaw6L6DPg",1.0,december23_december24
13,1.3416391916968755e+18,"I stopped singing along and listening to music when the dog died. Tried singing along to a Disney movie today, first time in months, and found out covid destroyed my ability. Music is dead. Happiness is dead. Dog is dead. Fuck this year.",0.10000000000000002,december23_december24
14,1.3416400606518804e+18,"Christmas Carolers during Covid 😆Mask courtesy of @jerseycitynj #christmascaroling #maskupjc #christmascarolers #wearamask😷 #jerseycityandme @ Jersey City, New Jersey https://t.co/by8Yy4ihoU",0.0,december23_december24
15,1.3416405666987008e+18,"Day 2 was another huge success. Since #COVID doesn’t close, neither will our testing site. Open on Christmas Eve and Christmas Day! #weareinthistogether @ Shore Hotel Santa Monica https://t.co/KLeLvdGJe9",0.0,december23_december24
16,1.3416434458075423e+18,"#covid_19 #quarantine #essentialworkers To the selfish and inconsiderate etc etc. #stayhome Stick to your #socialpod !!!  #maskthefkup #maskup 😷 @ Los Angeles, California https://t.co/2RIXCCisl7",0.04545454545454545,december23_december24
17,1.341658914190975e+18,Late night doodles. Work in progress. Covid art. #workinprogress #mixedmedia #mixedmediaart #acrylicmarkers #doodles #staycreative #art #westchesterartist #craftyrichela #richelafm #artinthetimeofcovid #covidart https://t.co/5gzzhggWsy,0.2,december23_december24
18,1.3416589386814095e+18,"Thank you @djtonytouch for your continued support of A Corona Carol. We are very grateful. Happy Holidays everyone! 🎅🏽 🎄 🕎 👑 @ Brooklyn, New York https://t.co/rdbzMI8H27",0.0,december23_december24
19,1.341660249753858e+18,"Nice pizza kit night at #GaslightCommons. #Buzzuto gave residents a #Panzano Pizzaria Pizza Kit with fresh dough, sauce and some fixings. Added a few of my own too. #Thanks for the tasty dinner in COVID times! https://t.co/v4wguzegkh",0.0,december23_december24
20,1.341664326235525e+18,#whatayear #whatayearitsbeen #queano #staysafe #staysafe #wearmask #mascarillas #vaccine #vacuna #feliznavidad #merrychristmas #jperezshow #spanglish #2020 a few days left to #2021 #oracion  #prayerchangesthings #pray https://t.co/cxiV76J76y,1.0,december23_december24
21,1.3416647263050547e+18,Bitcoin Edges Lower After Trump Rejects COVID-19 Stimulus Package https://t.co/t0tR503rhX https://t.co/5SJgk0QyFk 🤑 #Crypto #Trading #BTC,0.0,december23_december24
22,1.3416657613291766e+18,"Sunset Blvd ... Tuesday afternoon...on the way home from work ..
#sunsetblvd 
#tuesdayafternoon 
#tuesdaynight @ West Hollywood, California https://t.co/LSsQVKMfxn",0.0,december23_december24
23,1.3416667647830303e+18,Cleared: Construction on #Q29Bus SB at 92nd St between Corona Ave and 48th Ave,0.0,december23_december24
24,1.3416686300780995e+18,"Staying safe in Maine!! Mask up!! 😷 #maine #christmasbreak #staysafe #wearamask @ Boothbay Harbor, Maine https://t.co/GZxT2d6kzO",0.0,december23_december24
25,1.3416696912033382e+18,"Due to Covid 19, on Dec. 31st this IG page will be deleted.  We want to thank you all for your support and non-support.  It has taught us a lot about marketing.  We want to leave you with this.....! https://t.co/XmZs51jljs",0.07662337662337662,december23_december24
